AdCluster,Aspect,AspectCount,CommentId,Descriptor,Position,SentimentBinary,SentimentCompound,Topic,TopicCount,TopicImportance,TopicSentimentBinary,TopicSentimentCompound,WordnetNode
nasty,texture,2,3,nasty,18,-1.0,-0.5574,texture.n.01,2,0.0010403080071267597,0.0,-0.06795000000000001,texture.n.01
nice,texture,2,421,nice,77,1.0,0.4215,texture.n.01,2,0.0010403080071267597,0.0,-0.06795000000000001,texture.n.01
late,bank,1,4,late,31,0.0,0.0,depository_financial_institution.n.01,3,0.0015604620106901394,0.0,0.0,depository_financial_institution.n.01
late,May bank,1,4,late,31,0.0,0.0,depository_financial_institution.n.01,3,0.0015604620106901394,0.0,0.0,depository_financial_institution.n.01
late,bank holiday,1,4,late,36,0.0,0.0,depository_financial_institution.n.01,3,0.0015604620106901394,0.0,0.0,depository_financial_institution.n.01
late,holiday,1,4,late,36,0.0,0.0,vacation.n.01,1,0.0005201540035633798,0.0,0.0,vacation.n.01
good,selection,6,5,great,4,1.0,0.6249,selection.n.02,8,0.004161232028507039,0.875,0.4381625,selection.n.02
good,selection,6,133,good,17,1.0,0.4404,selection.n.02,8,0.004161232028507039,0.875,0.4381625,selection.n.02
good,selections,2,135,good,27,1.0,0.4404,selection.n.02,8,0.004161232028507039,0.875,0.4381625,selection.n.02
incredible,selection,6,293,incredible,73,0.0,0.0,selection.n.02,8,0.004161232028507039,0.875,0.4381625,selection.n.02
good,selection,6,346,Pretty,17,1.0,0.4939,selection.n.02,8,0.004161232028507039,0.875,0.4381625,selection.n.02
good,selection,6,346,good,17,1.0,0.4404,selection.n.02,8,0.004161232028507039,0.875,0.4381625,selection.n.02
incredible,selection,6,725,Awesome,8,1.0,0.6249,selection.n.02,8,0.004161232028507039,0.875,0.4381625,selection.n.02
good,selections,2,897,good,10,1.0,0.4404,selection.n.02,8,0.004161232028507039,0.875,0.4381625,selection.n.02
good,fries,6,9,great,4,1.0,0.6249,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,french_fries.n.01
good,tacos,4,28,great,47,1.0,0.6249,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,taco.n.02
Mexican,tacos,4,28,Mexican,47,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,taco.n.02
warm,food,71,29,warm,60,1.0,0.2263,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
familiar,food,71,34,familiar,66,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
prime,dessert,1,46,prime,48,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,dessert.n.01
generic,food,71,47,generic,17,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
Greek,salad,1,50,Greek,14,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,salad.n.01
Greek,dressing,4,50,Greek,35,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,dressing.n.01
refreshing,pita,1,50,refreshing,66,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,pita.n.01
good,food,71,56,great,35,1.0,0.6249,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
friendly,food,71,56,friendly,35,1.0,0.4939,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
good,food,71,66,Great,6,1.0,0.6249,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
good,fries,6,78,good,17,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,french_fries.n.01
seasoned,fries,6,78,seasoned,17,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,french_fries.n.01
good,potato fries,2,78,good,17,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,french_fries.n.01
seasoned,potato fries,2,78,seasoned,17,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,french_fries.n.01
good,food,71,80,good,22,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
amazing,food,71,88,amazing,25,1.0,0.5859,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
good,breakfast,3,94,Best,5,1.0,0.6369,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,breakfast.n.01
good,food,71,100,good,46,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
toasted,garlic,2,101,roasted,70,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,garlic.n.02
delicious,dishes,8,104,delicious,91,1.0,0.5719,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,dish.n.02
delicious,potato dishes,1,104,delicious,91,1.0,0.5719,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,dish.n.02
good,buffets,1,105,better,26,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,buffet.n.02
delicious,food,71,107,delicious,4,1.0,0.5719,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
real,sushi,4,111,REAL,5,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,sushi.n.01
real,sushi lovers,1,111,REAL,11,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,sushi.n.01
blandest,food,71,121,blandest,64,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
good,sushi,4,125,good,58,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,sushi.n.01
amazing,food,71,128,Phenomenal,11,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
mediocre,food,71,131,mediocre,46,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
massive,meatloaf,1,133,massive,55,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,meat_loaf.n.01
massive,sandwich,4,133,massive,64,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,sandwich.n.01
massive,meatloaf sandwich,1,133,massive,64,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,meat_loaf.n.01
massive,wrap,1,133,massive,91,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,wrap.n.02
massive,crispy wrap,1,133,massive,91,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,wrap.n.02
massive,chicken wrap,1,133,massive,91,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,wrap.n.02
delicious,burgers,3,133,delish,131,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,hamburger.n.01
delicious,tasty burgers,1,133,delish,131,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,hamburger.n.01
solid,breakfast,3,137,solid,24,1.0,0.1531,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,breakfast.n.01
white,curry,1,144,red,12,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,curry.n.01
good,pasta,2,158,excellent,78,1.0,0.5719,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,pasta.n.01
good,food,71,168,good,46,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
sad,ingredients,1,171,sad,51,-1.0,-0.4767,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,ingredient.n.03
overcooked,burger,4,181,overcooked,77,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,hamburger.n.01
raspberry,cocktail,1,186,raspberry,34,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,cocktail.n.01
raspberry,ice cocktail,1,186,raspberry,34,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,cocktail.n.01
hot,bread,6,190,hot,21,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,bread.n.01
hot,butter,1,190,hot,31,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,butter.n.01
delicious,food,71,191,delicious,43,1.0,0.5719,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
good,Food,6,202,great,0,1.0,0.6249,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
warm,beer,6,203,warm,9,1.0,0.2263,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,beer.n.01
good,lunch,3,206,good,10,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,lunch.n.01
mixed,puree,2,210,mixed,51,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,puree.n.01
mixed,gold puree,1,210,mixed,51,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,puree.n.01
rich,food,71,220,rich,6,1.0,0.5574,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
needed,salt,1,223,needed,59,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,salt.n.02
bad,food,71,232,bad,7,1.0,0.5423,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
double,cheeseburger,3,234,double,17,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,cheeseburger.n.01
flavourful,dish,4,242,flavourful,9,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,dish.n.02
such,sushi,4,248,other,32,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,sushi.n.01
creamy,dressing,4,253,creamy,10,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,dressing.n.01
delicious,dressing,4,253,flavorful,10,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,dressing.n.01
Greek,dressing,4,253,Greek,10,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,dressing.n.01
good,pizza,7,255,good,8,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,pizza.n.01
delicious,sauce,4,255,tasty,41,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,sauce.n.01
delicious,peanut sauce,1,255,tasty,41,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,sauce.n.01
delicious,food,71,268,delicious,42,1.0,0.5719,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
proclaimed,coffee,1,270,proclaimed,22,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,coffee.n.01
boba,tea,3,276,boba,46,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,tea.n.02
delicious,food,71,293,delish,24,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
amazing,beer,6,293,incredible,68,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,beer.n.01
amazing,beer selection,3,293,incredible,73,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,beer.n.01
good,food,71,300,excellent,4,1.0,0.5719,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
good,beer,6,301,Good,5,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,beer.n.01
good,food,71,301,good,37,1.0,0.4404,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
many,chips,3,303,many,65,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,french_fries.n.01
bland,Food,6,304,boring,0,-1.0,-0.3182,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,food.n.01
toasted,muffin,2,312,toasted,30,0.0,0.0,food.n.01,241,0.04848096154062393,0.34439834024896265,0.1750186721991701,muffin.n.01
