AdCluster,Aspect,AspectCount,CommentId,Descriptor,Position,SentimentBinary,SentimentCompound,Topic,TopicCount,TopicImportance,TopicSentimentBinary,TopicSentimentCompound,WordnetNode
great,day,13,1,good,306,1.0,0.4404,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,day.n.02
previous,week,3,2,previous,213,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,week.n.03
second,day,13,6,second,514,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,day.n.02
late,night,17,7,late,198,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,night.n.07
last,night,17,9,next,1201,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,night.n.07
long,weekend,5,55,long,33,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,weekend.n.01
great,weekend,5,55,Perfect,33,1.0,0.5719,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,weekend.n.01
long,weekend,5,55,long,73,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,weekend.n.01
official,hour tour,1,55,official,628,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,go.n.01
biggest,xmas,2,60,biggest,340,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,christmas.n.02
great,xmas,2,60,best,340,1.0,0.6369,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,christmas.n.02
first,days,7,64,first,136,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,day.n.02
last,days,7,64,last,190,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,day.n.02
late,winter,1,64,late,639,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,winter.n.01
great,week,3,69,Great,6,1.0,0.6249,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,week.n.03
few,minutes,11,75,few,676,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,moment.n.02
entire,vacation,1,77,entire,212,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,vacation.n.01
few,minutes,11,93,few,564,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,moment.n.02
few,times,9,93,few,930,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,times.n.01
great,morning paper,1,94,nice,132,1.0,0.4215,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,morning.n.01
last,year,4,96,last,117,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,year.n.02
late,night,17,104,late,581,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,night.n.07
located,minutes,11,105,located,79,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,moment.n.02
great,night,17,109,great,1687,1.0,0.6249,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,night.n.07
hectic,days,7,115,hectic,130,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,day.n.02
pleasant,night,17,115,pleasant,389,1.0,0.5106,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,night.n.07
last,night,17,116,last,284,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,night.n.07
first,days,7,116,first,466,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,day.n.02
sleepless,nights,7,119,sleepless,448,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,night.n.07
few,minutes,11,124,few,195,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,moment.n.02
few,minutes,11,150,few,263,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,moment.n.02
few,times,9,159,few,1756,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,times.n.01
hectic,day,13,161,hectic,820,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,day.n.02
few,minutes,11,166,few,837,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,moment.n.02
few,times,9,176,few,77,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,times.n.01
few,times,9,180,several,62,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,times.n.01
last,minute,6,180,last,516,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,moment.n.02
flat,minutes,11,183,flat,372,0.0,0.0,time_period.n.01,119,0.004451904978410033,0.08403361344537816,0.04624705882352942,moment.n.02
